brand,model,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Micromax,X277,No,No,2012 May,118.3 x 48.8 x 14 mm (4.66 x 1.92 x 0.55 in),,Dual SIM (Mini-SIM),TFT,2.4 inches (~30.9% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion 1000 mAh battery,Red| Blue,20,http://cdn2.gsmarena.com/vv/bigpic/micromax-x277.jpg,
Micromax,X276,Class 10,Class 10,2012 May,118 x 48.6 x 13.5 mm (4.65 x 1.91 x 0.53 in),,Dual SIM (Mini-SIM),TFT,2.4 inches (~31.1% screen-to-body ratio),,,,,microSD  up to 4 GB (dedicated slot),,,VGA,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion 1000 mAh battery,Black,20,http://cdn2.gsmarena.com/vv/bigpic/micromax-x276.jpg,
Micromax,X246,Class 12,Class 12,2012 May,116 x 50 x 15.6 mm (4.57 x 1.97 x 0.61 in),104,Dual SIM (Mini-SIM),TFT,2.4 inches (~30.8% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion 1800 mAh battery,Black,20,http://cdn2.gsmarena.com/vv/bigpic/micromax-x246.jpg,
Micromax,X234+,No,No,2012 June,108.6 x 44 x 14.5 mm (4.28 x 1.73 x 0.57 in),,Dual SIM (Mini-SIM),TFT,2.0 inches (~26.3% screen-to-body ratio),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion 800 mAh battery,Red| Blue,20,http://cdn2.gsmarena.com/vv/bigpic/micromax-x234.jpg,
Micromax,A56,Yes,Yes,2012 July,116 x 62 x 11.5 mm (4.57 x 2.44 x 0.45 in),110,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,3.5 inches (~52.7% screen-to-body ratio),Android 2.3.5 (Gingerbread),800 MHz Cortex-A9,Mediatek MT6573,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes with A-GPS,,FM radio| recording,microUSB 2.0,,Removable Li-Ion 1400 mAh battery,Black| White,80,http://cdn2.gsmarena.com/vv/bigpic/micromax-a56.jpg,
Micromax,A52,Class 12,Yes,2012 June,112 x 61 x 13.2 mm (4.41 x 2.40 x 0.52 in),112,Dual SIM (Mini-SIM),TFT capacitive touchscreen,3.2 inches (~46.4% screen-to-body ratio),Android 2.3 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),160 MB,,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,,Removable Li-Ion 1280 mAh battery,Black| Yellow| White,70,http://cdn2.gsmarena.com/vv/bigpic/micromax-a52.jpg,
Micromax,A45,Class 12,Yes,2012 June,115 x 63 x 13 mm (4.53 x 2.48 x 0.51 in),120,Dual SIM (Mini-SIM),TFT capacitive touchscreen,3.5 inches (~50.3% screen-to-body ratio),Android 2.3 (Gingerbread),650 MHz Cortex-A9,Mediatek MT6513,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),180 MB,,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,No,,Stereo FM radio,microUSB 2.0,,Removable Li-Ion 1300 mAh battery,White| Black,70,http://cdn2.gsmarena.com/vv/bigpic/micromax-a45.jpg,
Micromax,X660,Yes,No,2012  Q2,119.4 x 61.3 x 12.4 mm (4.70 x 2.41 x 0.49 in),121,Dual SIM (Mini-SIM),TFT touchscreen,3.5 inches (~49.8% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),60 MB,,3.2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g,No,,FM radio| recording,Yes,,Removable Li-Ion 1200 mAh battery,White| Black,60,http://cdn2.gsmarena.com/vv/bigpic/micromax-x660.jpg,
Micromax,X640,Yes,No,2012  Q2,113.5 x 57.5 x 12.2 mm (4.47 x 2.26 x 0.48 in),,Dual SIM (Mini-SIM),TFT touchscreen,3.2 inches,,,,,microSD  up to 8 GB (dedicated slot),,,2 MP,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion battery,Black,50,http://cdn2.gsmarena.com/vv/bigpic/micromax-x640.jpg,
Micromax,X368,Yes,No,2012  Q2,117 x 51.5 x 11 mm (4.61 x 2.03 x 0.43 in),,Dual SIM (Mini-SIM),TFT,2.55 inches| 2.55 (~33.4% screen-to-body ratio),,,,,microSD  up to 8 GB (dedicated slot),43 MB,,2 MP,No,Yes,Yes,No,No,,FM radio,Yes,,Removable Li-Ion battery,White/Gray,40,http://cdn2.gsmarena.com/vv/bigpic/micromax-x368.jpg,
